"ID","Size","enrichmentScore","NES","pvalue","padj","leading_edge","core_enrichment"
"HALLMARK_UV_RESPONSE_DN",244,0.612395935487185,1.98622556657692,1e-10,1.25e-09,"tags=60%, list=22%, signal=47%","Atrnl1/Erbb4/Magi2/Prkce/Ptprm/Ptprt/Adgrl3/Inpp4b/Ltbp1/Mgmt/Celf2/Magi1/Cacna1c/Adgrl2/Apbb2/Plcb4/Kcnma1/Ptprk/Cacna1d/Dlc1/Vav3/Syne1/Bmpr1b/Igf1r/Runx1/Prkcb/Cacna1e/Syne2/Sipa1l2/Pdlim5/Tgfbr3/Prkca/Itgb6/Nfia/Ddah1/Nfib/Bckdhb/Cacna1a/Prkch/Stard13/Atxn1/Kit/Pik3cb/Col5a2/Tjp1/Cacna1b/Runx2/Cdc42bpa/Kcnu1/Nek7/Grk5/Lyn/Scn1a/Fyn/Ptpn14/Mmp16/Sipa1l1/Sipa1l3/Egfr/Notch2/Map2k5/Scn10a/Nfkb1/Scn8a/Scn3a/Rbpms/Bmpr1a/Ntn1/Arhgef4/Insr/Phf3/Irs1/Akt3/Wdr33/Met/Amph/Atp2b2/Ica1/Vav2/Smad2/Itgb5/Nrp2/Scn5a/Synj2/Lamc1/Add3/Inpp4a/Cap2/Ltbp2/Lpar1/Col11a1/Prdm2/Hck/Spata13/Fhl2/Celf1/Mta3/Sdc2/Pex14/Pik3r1/Scn11a/Slc7a1/Atp2b1/Tjp2/Magi3/Prkar2b/Nfix/Rxra/Scn2a/Fbln5/Cdon/Pik3ca/Nrp1/Atrn/Scaf8/Smad3/Ptpru/Scn9a/Cacna1s/Scn7a/Acvr2a/Atp2b4/Runx3/Rxrg/Cdc42bpb/Pias2/Anxa4/Blk/Spop/Col2a1/Dyrk1a/Wdr37/Efemp1/Csf1r/Lrp8/Synj1/Slc7a2/Cdk13/Pias1/Ptpn21/Col3a1/Cdk12/Lamc2/Tfpi/Col1a2/Add2/Mapk14"
"HALLMARK_MITOTIC_SPINDLE",287,0.535653904907159,1.74906040838075,1e-10,1.25e-09,"tags=56%, list=25%, signal=42%","Rabgap1l/Dock2/Dock1/Dst/Arhgap10/Dnah11/Dnah7c/Tiam1/Arhgap26/Palld/Rasal2/Dnah7b/Dnah5/Prex2/Dnah14/Sorbs2/Pdlim5/Srgap1/Dock4/Dnah6/Epb41l3/Dnah7a/Farp1/Myh15/Dock5/Clasp1/Dnah9/Tiam2/Macf1/Rapgef5/Akap13/Myo1b/Abl2/Srgap2/Cdc42bpa/Arhgap42/Myo1e/Abr/Ssh2/Mark1/Kifap3/Dnah12/Nedd9/Arhgef11/Nf1/Notch2/Myo1d/Sptb/Pcgf5/Mad1l1/Fgd4/Dab2ip/Arfgef1/Itsn2/Cdk5rap2/Srgap3/Cntrl/Epb41l2/Lrpprc/Dync2h1/Arhgef12/Spta1/Dnah3/Dock3/Scin/Katnal1/Tlk2/Clasp2/Abl1/Prex1/Bcr/Cd2ap/Kif1b/Tbcd/Tlk1/Kifc3/Fgd6/Nck2/Myh10/Dnah10/Rab3gap1/Kif5c/Dsp/Epb41/Septin9/Rfc1/Flnb/Vcl/Hook3/Capzb/Dnah2/Ranbp10/Ccdc88c/Arhgef7/Farp2/Actn1/Myo9a/Actn4/Cyth1/Arhgap35/Clip1/Kif1a/Pkd2l1/Myo1f/Als2/Actn2/Stk38l/Sptbn1/Myh14/Tubgcp3/Alms1/Ckap5/Abi1/Myh11/Pcm1/Tpx2/Rdx/Bin1/Sos2/Numa1/Cdc42bpb/Cenpe/Rabgap1/Ndc80/Rock1/Myo1h/Arfgef2/Ccdc88a/Wasf2/Myo9b/Sptbn4/Kif20b/Sos1/Dnah17/Ranbp9/Kntc1/Cdc42/Cenpf/Myh13/Ttk/Rrbp1/Hdac7/Kif2a/Kif11/Nin/Arhgap29/Net1/Pcnt/Tubgcp2/Hook1/Gsn/Rock2/Plec/Brca2/Map3k9/Clip2/Myh9/Mark3/Cenpj/Anln/Notch4"
"HALLMARK_APICAL_JUNCTION",272,0.49708031863584,1.61992278791101,1e-10,1.25e-09,"tags=48%, list=26%, signal=36%","Cntn4/Cntn5/Erbb4/Nlgn1/Nrxn1/Nrxn3/Slit3/Cdh4/Negr1/Slit2/Lsamp/Vav3/Lama2/Exoc4/Ppp2r2b/Kcnh7/Lama1/Cntn3/Fbn1/Lama3/Colgalt2/Adam22/Epb41l3/Cntn1/Myh15/Tll1/Itgb6/Cntn6/Itga1/Adam23/Map4k3/Tjp1/Slit1/Adamts9/Adamts20/Cdh2/Fbn2/Lyn/Nrcam/Map3k20/Fyn/Neb/Skap2/Nf1/Egfr/Vwf/Itga2/Rsu1/Ppp2r2a/Epb41l2/Chl1/Plcg2/Tll2/Irs1/Akt3/Nfasc/Gnai1/Ptk2/Ptprc/Nrap/Vav2/Itgb5/Lamc1/Tspan9/Myh10/Cdk19/Lama4/Col9a1/Epb41/Hck/Flnb/Vcl/Pik3r1/Evl/Tjp2/Arhgef7/Ctnnd1/Lamb3/Actn1/Actn4/Plcg1/Parvb/Ptk2b/Inpp5d/Ppp2r2c/Actn2/Myh14/Myh11/Syk/Sgce/Dhx15/Cdh3/Nectin1/Pard6g/Rdx/Speg/Cdk8/Chat/Dhx35/Blk/Lama5/Itga11/Parva/Pecam1/Adamts5/Adam9/Lamc2/Cadm3/Myh13/Atp1a4/Dhx8/Mapk14/Dhx38/Gnai3/Thbs4/B4galt1/Thbs2/Arvcf/Adam11/Map4k5/Lck/Adamts1/Akt2/Nrxn2/Myh9/Ppp2r2d/Zap70/Atp1a3/Jam3/Itga6"
"HALLMARK_MYOGENESIS",256,0.496268451473666,1.6143283228059,1e-10,1.25e-09,"tags=40%, list=19%, signal=33%","Erbb4/Sgcd/Sgcz/Hdac9/Nav2/Nav3/Ablim1/Ryr2/Ryr3/Lama2/Utrn/Rit2/Cep128/Adam12/Kcnh7/Large1/Lama1/Ncam2/Kcnh1/Lama3/App/Ppfia2/Sorbs1/Pde4dip/Myh15/Itgb6/Kcnh5/Gja5/Camk2d/Plxna4/Dtna/Myo1b/Ncam1/Myom1/Myo1e/Col4a2/Hdac4/Plxna2/Tead1/Egfr/Notch2/Lpin1/Myo1d/Ablim3/Lpin2/Svil/Col6a3/Akt3/Wdr33/Dtnb/Spta1/Tead4/Scin/Dmd/Nos1/Adam19/Itgb5/Col6a6/Mgam/Rb1/Dapk2/Myh10/Tpd52l1/Lama4/Ablim2/Col4a1/Col6a5/Acsl1/Cd36/Col6a4/Mybpc1/Actn1/Actn4/Casq2/Sis/Igfbp7/Camk2b/Myom2/Reep1/Camk2a/Myo1f/Actn2/Agl/Dennd2a/Myh14/Myh11/Mef2a/Myom3/Igf1/Bin1/Sh3bgrl2/Slc6a11/Ppfia1/Speg/Ldb3/Chat/Col2a1/Lama5/Col15a1/Myo1h/Pcx/Acsl6/Tnni1"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",235,0.455858817854486,1.47669326218223,5.66202039788878e-07,5.66202039788878e-06,"tags=45%, list=28%, signal=32%","Lrp1b/Opcml/Sgcd/Sgcz/Slit3/Ntm/Cdh4/Dst/Slit2/Lama2/Adam12/Lama1/Tnr/Sntb1/Fbn1/Lama3/Col14a1/Colgalt2/Tgfbr3/Cadm1/Tll1/Itgb6/Macf1/Cald1/Col5a2/Col4a3/Slit1/Itga8/Cdh2/Fbn2/Lrp2/Col4a2/Mmp16/Col5a1/Notch2/P3h2/Matn2/Ntn1/Col6a3/Tnc/Tll2/Wdr33/Adam19/Itgb5/Prrx1/Lamc1/Sntb2/Col6a6/Cap2/Lrp6/Dsp/Lama4/Col11a1/Col4a1/Col12a1/Fbln1/Flnb/Col6a5/Fn1/Col6a4/Nt5e/Itgav/Fbln5/Tnn/Il15/Fas/Sgcb/Wipf1/Serpine2/Cdh3/Slc6a11/Plod2/Vegfc/Col2a1/Lama5/Fermt2/Lrp5/Col3a1/Lamc2/Col1a2/Fap/Pmepa1/Copa/Plod1/Thbs4/Lrp1/Plec/Htra3/Thbs2/Slc6a6/Notch4/Dpp4/Nid2/Tnxb/Cd44/Rgs4/Bmp1/Mfap5/Col11a2/Dcn/Pmp22/Gm19410/Qsox1/Slc6a13/Bdnf"
"HALLMARK_IL2_STAT5_SIGNALING",234,0.444265506197544,1.43876960765397,7.57226123907851e-06,6.31021769923209e-05,"tags=57%, list=36%, signal=37%","Prkce/Rabgap1l/Rora/Dst/Pcsk5/Tiam1/Ncoa2/Igf1r/Tiam2/Bcl2/Macf1/Prkch/Myo1b/Lrrc8d/Itga8/Myo1e/Scn1a/Pou2f1/Ikzf2/Pcsk6/Itih5/Myo1d/Scn10a/Scn8a/Enpp2/Scn3a/Insr/Plagl1/Lrrc8c/Abcb5/Tnfrsf21/Nrp2/Scn5a/Lclat1/Hk1/Abcb1b/Dsp/Ttc39b/Bcl2l1/Ccnd3/Abcb1a/Abcb11/Scn11a/Hipk2/Gbp5/Spred2/Gucy1b1/Wls/Ptch1/Nt5e/Capn9/Enpp1/Cyfip2/Swap70/Itgav/Gbp8/Scn2a/Il2ra/Phtf2/Enpp3/Bmpr2/Dennd5b/Nrp1/Myo1f/Snx9/Snx14/St3gal4/Scn9a/Il1r2/Scn7a/Ahnak/Itgae/Sh3bgrl2/Igf2r/Lrrc8b/Uck2/Anxa4/Rabgap1/Myo1h/Capn8/Phtf1/Mapkapk2/Hk2/Map6/Dennd5a/Il18r1/Hipk1/Slc2a3/Galm/Tnfrsf1b/Tnfrsf8/Plec/Serpinc1/Abcb4/Arl4a/Itga6/Cyfip1/Cd44/P4ha2/Ncs1/Selp/Syt11/P2rx7/Slc39a8/Gm28729/Il1rl1/Ncoa3/Rhoh/Ahr/Hopx/Gbp7/Prnp/Cd48/Drc1/Gbp2/Scn4a/Ikzf4/Penk/Tnfrsf9/Icos/Itga5/Ctla4/Itga3/Rragd/Serpinb6e/Dcps/Col6a1/Cd83/Sh3bgr/Itga7/Hipk3/Gpr83/Nfil3/Serpinb6a"
"HALLMARK_APICAL_SURFACE",81,0.529149284969461,1.61885621594352,1.03510052116933e-05,7.39357515120948e-05,"tags=43%, list=18%, signal=35%","Epha6/Pkhd1/Mdga2/Atp8a2/Ntng1/Sulf1/Ephb1/Epha5/App/Crybg1/Epha3/Slc22a22/Lyn/Epha7/Fyn/Ephb2/Atp8a1/Atp8b4/Mdga1/Afap1l2/Pkhd1l1/Akap7/Epha4/Atp8b1/Hck/Atp11b/Scube2/Atp11a/Scube1/Gata3/Adam10/Atp6v0a4/Ncoa6/Blk/Atp8b5"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",236,0.435222517912185,1.40984201033571,2.44344594715987e-05,0.000152715371697492,"tags=48%, list=31%, signal=33%","Nav2/Nav3/Ablim1/Dlc1/Gfra1/Thsd4/Tiam1/Kazn/Slc24a3/Igf1r/Greb1l/Adcy2/Rps6ka2/Farp1/Tiam2/Bcl2/Aff1/Fer1l6/Stard13/Med13l/Tjp1/Adcy8/Rasgrp3/Myof/Mpped2/Deptor/Greb1/Slc24a4/Dysf/Olfm3/Adcy5/Ablim3/Celsr1/Svil/Papss1/Insr/Calcr/Abhd2/Gab2/Add3/Frk/Tbc1d30/Tpd52l1/Ablim2/Papss2/Jak1/Ttc39b/Elf1/Fhl2/Ccnd3/Rarb/Slc7a1/Scarb2/Rab31/Otof/Nrip1/Jak2/Tjp2/Farp2/Inpp5f/Chpt1/Elovl5/Ncor2/Kdm4b/Reep1/Rbbp8/Mapt/Itpk1/Fkbp5/Mreg/Opn3/Bcl11b/Ret/Fer1l5/Fdft1/Slc1a1/Adcy1/Pgr/Slc7a2/Sybu/Podxl/Calcrl/Add2/Adcy7/Slc2a3/Slc27a6/Car12/Slc37a1/Scarb1/Myb/Mlph/B4galt1/Arl3/Med13/Sult2a4/Rab17/Rab22a/Cd44/Scnn1a/Mpped1/Slc19a2/Slc1a4/Tmprss2/Cyp26b1/Add1/Kcnk5/Isg20l2/Ugcg/Adcy6/Slc27a2/Sult2a6/Akap1/Dhcr7"
"HALLMARK_KRAS_SIGNALING_UP",257,0.424458325754231,1.38101263088825,4.12526957517512e-05,0.000229181643065284,"tags=41%, list=27%, signal=31%","Epha6/Prkg1/Rabgap1l/Hdac9/Reln/Strn/Ptprr/Ano4/Ano2/Btbd3/Ephb1/Epha5/Sdccag8/Epb41l3/Epha3/Itgb6/Usp46/Ets1/Cpe/Itgbl1/Spon1/Hdac4/Epha7/Ano6/Ano3/Cab39l/Map7/Ephb2/Tph2/Pls1/Akt3/Wdr33/Adgra3/Abcb5/Cblb/Cfhr2/Tor1aip2/Itgb5/Nrp2/Prkg2/Hk1/Prrx1/Abcb1b/Gucy1a1/Akap12/Evi5/F13a1/Kif5c/Cfhr4/Epb41/Epha4/Prdm1/Gabra2/Il1rl2/Ccnd3/Adgrl4/Abcb1a/Abcb11/Aldh1a2/Naip1/Il33/Ikzf1/Snap91/Lcp1/Etv1/Zfp277/Dnmbp/Pdcd1lg2/Ano1/Nrp1/Ano5/Aldh1a1/Snap25/Gabra5/Ccser2/Rabgap1/Cfh/Sparcl1/Cbl/Pecam1/Adam28/Serpina3m/Hk2/Hdac5/Mall/Gm21992/Nr1h4/Tfpi/Ngf/Hdac7/Nin/Maf/Btc/Tnfrsf1b/Abcb4/Adgra2/Akt2/Aldh1a7/H2bc6/Cmklr1/Slpi/Ero1a/Bpgm/Anxa10/Peg3/Ptbp2"
"HALLMARK_ANDROGEN_RESPONSE",144,0.456833686845629,1.44500194343732,0.000139437695309842,0.000697188476549209,"tags=44%, list=25%, signal=34%","Inpp4b/Abcc4/Bmpr1b/Rps6ka2/Pdlim5/Stk39/Abcc9/Cdk6/Itga8/Adamts9/Adamts20/Xrcc5/Ptpn14/Arid5b/Abcc12/Sec24d/Map7/Bmpr1a/Abhd2/Akt3/Abcc1/Homer2/Gnai1/Ptk2/Tsc22d1/Inpp4a/Gucy1a1/Akap12/Tpd52/Oxsr1/Ccnd3/Sgk1/Abcc2/Uap1/Herc4/Aldh1a2/Actn1/Mertk/Itgav/Actn4/Cilk1/Elovl5/Mak/Ptk2b/Actn2/Aldh1a1/Fkbp5/Pias2/Abcc8/Pias1/Adamts5/Abcc5/Ptpn21/Zbtb10/Abcc6/Pmepa1/Gnai3/Acsl3/Zmiz1/B4galt1/Adamts1/Akt2/Aldh1a7/Cdc14b"
"HALLMARK_HEDGEHOG_SIGNALING",65,0.519034666698256,1.56537995202782,0.000293923077053813,0.00133601398660824,"tags=58%, list=30%, signal=41%","Slit3/Arhgap10/Unc5d/Slit2/Unc5c/Arhgap26/Myh15/Cdk6/Slit1/Arhgap42/Nrcam/Rtn1/Nf1/Celsr1/Chl1/Nfasc/Dpysl3/Nrp2/Myh10/Crmp1/Tle4/Ptch1/Nrp1/Myh14/Myh11/Dpysl2/Lrp8/Unc5b/Myh13/Bche/Tle3/Myh9/Tle1/Dpys/Myh2/Unc5a/Plg/Myh8"
